DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. MIRONES BAJO,2009,4,3,,,1,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. SAN SEBASTIAN,2009,5,2,,1,,1,1,,20.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SAN SEBASTIAN,C.S. UNID. VECINAL NRO. 3,2009,2,2,,,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SURQUILLO,C.S. MIRAFLORES,2009,1,1,,,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SURQUILLO,C.S. SURQUILLO,2009,3,2,,1,,,,,0.0
LIMA CIUDAD,LIMA CIUDAD,C.S. SURQUILLO,C.S. VILLA  VICTORIA  PORVENIR,2009,2,1,,,1,,,,0.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA PABLO BERMUDEZ - ESSALUD,2009,1,,,,,,1,,0.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. DE APOYO SANTA ROSA,2009,6,2,2,,,2,,,33.3
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. MILITAR,2009,1,1,,,,,,,0.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. NACIONAL CAYETANO HEREDIA,2009,2,2,,,,,,,0.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. PUENTE PIEDRA,2009,5,3,,,,2,,,40.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. VICTOR LARCO HERRERA,2009,1,1,,,,,,,0.0
LIMA CIUDAD,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSPITAL CENTRAL PNP,2009,3,2,,1,,,,,0.0
